Total Runtime: 65.79 seconds, Timestamp: 2024-09-02 23:49:17, Urban Legend Index: 0, Urban Legend Iteration: 22, Total Iteration: 22, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 68.75 seconds, Timestamp: 2024-09-02 23:49:20, Urban Legend Index: 0, Urban Legend Iteration: 23, Total Iteration: 23, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 72.21 seconds, Timestamp: 2024-09-02 23:49:24, Urban Legend Index: 0, Urban Legend Iteration: 24, Total Iteration: 24, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 75.70 seconds, Timestamp: 2024-09-02 23:49:27, Urban Legend Index: 0, Urban Legend Iteration: 25, Total Iteration: 25, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 79.15 seconds, Timestamp: 2024-09-02 23:49:31, Urban Legend Index: 0, Urban Legend Iteration: 26, Total Iteration: 26, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 81.50 seconds, Timestamp: 2024-09-02 23:49:33, Urban Legend Index: 0, Urban Legend Iteration: 27, Total Iteration: 27, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 84.95 seconds, Timestamp: 2024-09-02 23:49:37, Urban Legend Index: 0, Urban Legend Iteration: 28, Total Iteration: 28, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 88.41 seconds, Timestamp: 2024-09-02 23:49:40, Urban Legend Index: 0, Urban Legend Iteration: 29, Total Iteration: 29, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 91.87 seconds, Timestamp: 2024-09-02 23:49:43, Urban Legend Index: 0, Urban Legend Iteration: 30, Total Iteration: 30, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 0.00 seconds, Timestamp: 2024-09-02 23:49:56, Urban Legend Index: 1, Urban Legend Iteration: 1, Total Iteration: 1, GPU Memory Allocated: 14432.45 MB, GPU Memory Reserved: 14578.00 MB
Total Runtime: 4.38 seconds, Timestamp: 2024-09-02 23:50:00, Urban Legend Index: 1, Urban Legend Iteration: 2, Total Iteration: 2, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 7.77 seconds, Timestamp: 2024-09-02 23:50:04, Urban Legend Index: 1, Urban Legend Iteration: 3, Total Iteration: 3, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 10.79 seconds, Timestamp: 2024-09-02 23:50:07, Urban Legend Index: 1, Urban Legend Iteration: 4, Total Iteration: 4, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 13.11 seconds, Timestamp: 2024-09-02 23:50:09, Urban Legend Index: 1, Urban Legend Iteration: 5, Total Iteration: 5, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 16.53 seconds, Timestamp: 2024-09-02 23:50:13, Urban Legend Index: 1, Urban Legend Iteration: 6, Total Iteration: 6, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 18.95 seconds, Timestamp: 2024-09-02 23:50:15, Urban Legend Index: 1, Urban Legend Iteration: 7, Total Iteration: 7, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 21.29 seconds, Timestamp: 2024-09-02 23:50:17, Urban Legend Index: 1, Urban Legend Iteration: 8, Total Iteration: 8, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 24.72 seconds, Timestamp: 2024-09-02 23:50:21, Urban Legend Index: 1, Urban Legend Iteration: 9, Total Iteration: 9, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 27.77 seconds, Timestamp: 2024-09-02 23:50:24, Urban Legend Index: 1, Urban Legend Iteration: 10, Total Iteration: 10, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 30.94 seconds, Timestamp: 2024-09-02 23:50:27, Urban Legend Index: 1, Urban Legend Iteration: 11, Total Iteration: 11, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 34.01 seconds, Timestamp: 2024-09-02 23:50:30, Urban Legend Index: 1, Urban Legend Iteration: 12, Total Iteration: 12, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 37.24 seconds, Timestamp: 2024-09-02 23:50:33, Urban Legend Index: 1, Urban Legend Iteration: 13, Total Iteration: 13, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 39.57 seconds, Timestamp: 2024-09-02 23:50:36, Urban Legend Index: 1, Urban Legend Iteration: 14, Total Iteration: 14, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 42.98 seconds, Timestamp: 2024-09-02 23:50:39, Urban Legend Index: 1, Urban Legend Iteration: 15, Total Iteration: 15, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 46.43 seconds, Timestamp: 2024-09-02 23:50:42, Urban Legend Index: 1, Urban Legend Iteration: 16, Total Iteration: 16, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 49.84 seconds, Timestamp: 2024-09-02 23:50:46, Urban Legend Index: 1, Urban Legend Iteration: 17, Total Iteration: 17, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 52.19 seconds, Timestamp: 2024-09-02 23:50:48, Urban Legend Index: 1, Urban Legend Iteration: 18, Total Iteration: 18, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 55.63 seconds, Timestamp: 2024-09-02 23:50:52, Urban Legend Index: 1, Urban Legend Iteration: 19, Total Iteration: 19, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 57.94 seconds, Timestamp: 2024-09-02 23:50:54, Urban Legend Index: 1, Urban Legend Iteration: 20, Total Iteration: 20, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 60.27 seconds, Timestamp: 2024-09-02 23:50:56, Urban Legend Index: 1, Urban Legend Iteration: 21, Total Iteration: 21, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 62.67 seconds, Timestamp: 2024-09-02 23:50:59, Urban Legend Index: 1, Urban Legend Iteration: 22, Total Iteration: 22, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 66.14 seconds, Timestamp: 2024-09-02 23:51:02, Urban Legend Index: 1, Urban Legend Iteration: 23, Total Iteration: 23, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 69.62 seconds, Timestamp: 2024-09-02 23:51:06, Urban Legend Index: 1, Urban Legend Iteration: 24, Total Iteration: 24, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 72.04 seconds, Timestamp: 2024-09-02 23:51:08, Urban Legend Index: 1, Urban Legend Iteration: 25, Total Iteration: 25, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 0.00 seconds, Timestamp: 2024-09-02 23:51:26, Urban Legend Index: 0, Urban Legend Iteration: 1, Total Iteration: 1, GPU Memory Allocated: 14432.45 MB, GPU Memory Reserved: 14578.00 MB
Total Runtime: 13.96 seconds, Timestamp: 2024-09-02 23:51:40, Urban Legend Index: 0, Urban Legend Iteration: 2, Total Iteration: 2, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 16.31 seconds, Timestamp: 2024-09-02 23:51:42, Urban Legend Index: 0, Urban Legend Iteration: 3, Total Iteration: 3, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 19.77 seconds, Timestamp: 2024-09-02 23:51:46, Urban Legend Index: 0, Urban Legend Iteration: 4, Total Iteration: 4, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 23.22 seconds, Timestamp: 2024-09-02 23:51:49, Urban Legend Index: 0, Urban Legend Iteration: 5, Total Iteration: 5, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 25.53 seconds, Timestamp: 2024-09-02 23:51:52, Urban Legend Index: 0, Urban Legend Iteration: 6, Total Iteration: 6, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 27.89 seconds, Timestamp: 2024-09-02 23:51:54, Urban Legend Index: 0, Urban Legend Iteration: 7, Total Iteration: 7, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 30.21 seconds, Timestamp: 2024-09-02 23:51:56, Urban Legend Index: 0, Urban Legend Iteration: 8, Total Iteration: 8, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 0.00 seconds, Timestamp: 2024-09-02 23:52:21, Urban Legend Index: 0, Urban Legend Iteration: 1, Total Iteration: 1, GPU Memory Allocated: 14432.45 MB, GPU Memory Reserved: 14578.00 MB
Total Runtime: 16.68 seconds, Timestamp: 2024-09-02 23:52:38, Urban Legend Index: 0, Urban Legend Iteration: 2, Total Iteration: 2, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 29.21 seconds, Timestamp: 2024-09-02 23:52:50, Urban Legend Index: 0, Urban Legend Iteration: 3, Total Iteration: 3, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
